Sample,Elapsed Time,Delta Time,Voltage
69,0.7562751770019531,0.005984067916870117,0.00512526373
70,0.7622604370117188,0.005985260009765625,-0.00592220139
71,0.7682459354400635,0.0059854984283447266,-0.000786899574
72,0.774226188659668,0.005980253219604492,0.0049605135
73,0.7802093029022217,0.005983114242553711,-0.00567851688
74,0.7861940860748291,0.005984783172607422,0.00767345161
75,0.7931783199310303,0.006984233856201172,-0.00203380056
76,0.8460345268249512,0.0528562068939209,-0.0059108187
77,0.8520185947418213,0.005984067916870117,0.00211013496
78,0.8639860153198242,0.01196742057800293,0.00194857015
79,0.869971513748169,0.0059854984283447266,0.00799747277
80,0.8759539127349854,0.005982398986816406,-0.00244930732
81,0.8819375038146973,0.005983591079711914,-0.00330847879
82,0.8878540992736816,0.005916595458984375,0.00819225076
83,0.941678524017334,0.053824424743652344,-0.00679800111
84,0.9476621150970459,0.005983591079711914,-0.00398289597
85,0.953646183013916,0.005984067916870117,0.0101408788
86,0.9606316089630127,0.00698542594909668,-0.00666580625
87,0.9666159152984619,0.005984306335449219,-0.00127131691
88,0.9715983867645264,0.004982471466064453,0.00566748607
89,0.9775817394256592,0.0059833526611328125,-0.00597363554
90,0.9835653305053711,0.005983591079711914,-0.000246269958
91,0.9905469417572021,0.006981611251831055,0.00450247103
92,1.043656349182129,0.05310940742492676,-0.00684896781
93,1.048642635345459,0.004986286163330078,-0.00249798013
94,1.054626226425171,0.005983591079711914,0.00625997392
95,1.0616114139556885,0.006985187530517578,-0.00589606024
96,1.0675914287567139,0.005980014801025391,-0.000484708895
97,1.0735759735107422,0.00598454475402832,0.00448584276
98,1.0795907974243164,0.006014823913574219,-0.00668332605
99,1.0855433940887451,0.005952596664428711,0.0056258419
100,1.091526746749878,0.0059833526611328125,0.0001471726
101,1.1443860530853271,0.05285930633544922,-0.00384503145
102,1.1503703594207764,0.005984306335449219,-0.000505881567
103,1.1563537120819092,0.0059833526611328125,0.00468881802
104,1.1633353233337402,0.006981611251831055,-0.00605964184
105,1.1693198680877686,0.00598454475402832,0.00421442438
106,1.1753029823303223,0.005983114242553711,0.00116903414
107,1.1812875270843506,0.00598454475402832,-0.0041246471
108,1.1872708797454834,0.0059833526611328125,0.0100280301
109,1.1932587623596191,0.005987882614135742,-0.00691497007
110,1.2002372741699219,0.006978511810302734,-0.00118849603
111,1.2520973682403564,0.05186009407043457,0.00756674008
112,1.2590796947479248,0.006982326507568359,-0.0019236699
113,1.2650632858276367,0.005983591079711914,-0.00338038443
114,1.2710464000701904,0.005983114242553711,0.00787801957
